fecha,REP_ultimo,REP_per,REP_bpa,REP_rentabilidad_por_dividendo,REP_precio_valor_contable,REP_ebitda
2018-01-09,"14,571","5,33","1,46","6,98","0,40","7.173,00"
2018-01-10,"14,511","5,33","1,46","6,98","0,40","7.173,00"
2018-01-11,"14,631","5,33","1,46","6,98","0,40","7.173,00"
2018-01-12,"14,686","5,33","1,46","6,98","0,40","7.173,00"
2018-01-15,"14,704","5,33","1,46","6,98","0,40","7.173,00"
2018-01-16,"14,566","5,33","1,46","6,98","0,40","7.173,00"
2018-01-17,"14,451","5,33","1,46","6,98","0,40","7.173,00"
2018-01-18,"14,529","5,33","1,46","6,98","0,40","7.173,00"
2018-01-19,"14,372","5,33","1,46","6,98","0,40","7.173,00"
2018-01-22,"14,640","5,33","1,46","6,98","0,40","7.173,00"
2018-01-23,"14,594","5,33","1,46","6,98","0,40","7.173,00"
2018-01-24,"14,594","5,33","1,46","6,98","0,40","7.173,00"
2018-01-25,"14,502","5,33","1,46","6,98","0,40","7.173,00"
2018-01-26,"14,312","5,33","1,46","6,98","0,40","7.173,00"
2018-01-29,"14,252","5,33","1,46","6,98","0,40","7.173,00"
2018-01-30,"13,957","5,33","1,46","6,98","0,40","7.173,00"
2018-01-31,"13,980","5,33","1,46","6,98","0,40","7.173,00"
2018-02-01,"14,114","5,33","1,46","6,98","0,40","7.173,00"
2018-02-02,"13,874","5,33","1,46","6,98","0,40","7.173,00"
2018-02-05,"13,671","5,33","1,46","6,98","0,40","7.173,00"
2018-02-06,"13,265","5,33","1,46","6,98","0,40","7.173,00"
2018-02-07,"13,533","5,33","1,46","6,98","0,40","7.173,00"
2018-02-08,"13,081","5,33","1,46","6,98","0,40","7.173,00"
2018-02-09,"12,883","5,33","1,46","6,98","0,40","7.173,00"
2018-02-12,"12,975","5,33","1,46","6,98","0,40","7.173,00"
2018-02-13,"12,887","5,33","1,46","6,98","0,40","7.173,00"
2018-02-14,"12,753","5,33","1,46","6,98","0,40","7.173,00"
2018-02-15,"12,684","5,33","1,46","6,98","0,40","7.173,00"
2018-02-16,"12,813","5,33","1,46","6,98","0,40","7.173,00"
2018-02-19,"12,873","5,33","1,46","6,98","0,40","7.173,00"
2018-02-20,"13,025","5,33","1,46","6,98","0,40","7.173,00"
