fecha,AMS_ultimo,AMS_per,AMS_bpa,AMS_rentabilidad_por_dividendo,AMS_precio_valor_contable,AMS_ebitda
2018-08-29,"80,600","17,86","2,61","1,10","6,30","2.014,00"
2018-08-30,"80,780","17,86","2,61","1,10","6,30","2.014,00"
2018-08-31,"79,920","17,86","2,61","1,10","6,30","2.014,00"
2018-09-03,"80,700","17,86","2,61","1,10","6,30","2.014,00"
2018-09-04,"80,300","17,86","2,61","1,10","6,30","2.014,00"
2018-09-05,"76,940","17,86","2,61","1,10","6,30","2.014,00"
2018-09-06,"76,060","17,86","2,61","1,10","6,30","2.014,00"
2018-09-07,"76,560","17,86","2,61","1,10","6,30","2.014,00"
2018-09-10,"77,640","17,86","2,61","1,10","6,30","2.014,00"
2018-09-11,"78,800","17,86","2,61","1,10","6,30","2.014,00"
2018-09-12,"79,280","17,86","2,61","1,10","6,30","2.014,00"
2018-09-13,"78,760","17,86","2,61","1,10","6,30","2.014,00"
2018-09-14,"79,440","17,86","2,61","1,10","6,30","2.014,00"
2018-09-17,"78,940","17,86","2,61","1,10","6,30","2.014,00"
2018-09-18,"78,260","17,86","2,61","1,10","6,30","2.014,00"
2018-09-19,"77,500","17,86","2,61","1,10","6,30","2.014,00"
2018-09-20,"77,800","17,86","2,61","1,10","6,30","2.014,00"
2018-09-21,"78,260","17,86","2,61","1,10","6,30","2.014,00"
2018-09-24,"79,360","17,86","2,61","1,10","6,30","2.014,00"
2018-09-25,"81,480","17,86","2,61","1,10","6,30","2.014,00"
2018-09-26,"81,360","17,86","2,61","1,10","6,30","2.014,00"
2018-09-27,"81,460","17,86","2,61","1,10","6,30","2.014,00"
2018-09-28,"80,020","17,86","2,61","1,10","6,30","2.014,00"
2018-10-01,"82,060","17,86","2,61","1,10","6,30","2.014,00"
2018-10-02,"80,780","17,86","2,61","1,10","6,30","2.014,00"
2018-10-03,"81,240","17,86","2,61","1,10","6,30","2.014,00"
2018-10-04,"80,120","17,86","2,61","1,10","6,30","2.014,00"
2018-10-05,"78,280","17,86","2,61","1,10","6,30","2.014,00"
2018-10-08,"75,360","17,86","2,61","1,10","6,30","2.014,00"
2018-10-09,"74,620","17,86","2,61","1,10","6,30","2.014,00"
2018-10-10,"71,860","17,86","2,61","1,10","6,30","2.014,00"
2018-10-11,"71,560","17,86","2,61","1,10","6,30","2.014,00"
2018-10-12,"71,040","17,86","2,61","1,10","6,30","2.014,00"
2018-10-15,"70,960","17,86","2,61","1,10","6,30","2.014,00"
2018-10-16,"73,120","17,86","2,61","1,10","6,30","2.014,00"
2018-10-17,"72,660","17,86","2,61","1,10","6,30","2.014,00"
2018-10-18,"72,040","17,86","2,61","1,10","6,30","2.014,00"
2018-10-19,"72,880","17,86","2,61","1,10","6,30","2.014,00"
2018-10-22,"72,840","17,86","2,61","1,10","6,30","2.014,00"
2018-10-23,"71,240","17,86","2,61","1,10","6,30","2.014,00"
2018-10-24,"70,920","17,86","2,61","1,10","6,30","2.014,00"
2018-10-25,"72,280","17,86","2,61","1,10","6,30","2.014,00"
2018-10-26,"70,980","17,86","2,61","1,10","6,30","2.014,00"
2018-10-29,"70,060","17,86","2,61","1,10","6,30","2.014,00"
2018-10-30,"69,800","17,86","2,61","1,10","6,30","2.014,00"
2018-10-31,"71,180","17,86","2,61","1,10","6,30","2.014,00"
2018-11-01,"71,000","17,86","2,61","1,10","6,30","2.014,00"
2018-11-02,"71,320","17,86","2,61","1,10","6,30","2.014,00"
