fecha,AENA_ultimo,AENA_per,AENA_bpa,AENA_rentabilidad_por_dividendo,AENA_precio_valor_contable,AENA_ebitda
2018-08-14,"155,40","13,49","8,85","4,99","2,97","2.656,59"
2018-08-15,"154,15","13,49","8,85","4,99","2,97","2.656,59"
2018-08-16,"153,50","13,49","8,85","4,99","2,97","2.656,59"
2018-08-17,"152,60","13,49","8,85","4,99","2,97","2.656,59"
2018-08-20,"153,90","13,49","8,85","4,99","2,97","2.656,59"
2018-08-21,"154,80","13,49","8,85","4,99","2,97","2.656,59"
2018-08-22,"155,00","13,49","8,85","4,99","2,97","2.656,59"
2018-08-23,"152,75","13,49","8,85","4,99","2,97","2.656,59"
2018-08-24,"152,20","13,49","8,85","4,99","2,97","2.656,59"
2018-08-27,"153,70","13,49","8,85","4,99","2,97","2.656,59"
2018-08-28,"152,55","13,49","8,85","4,99","2,97","2.656,59"
2018-08-29,"153,35","13,49","8,85","4,99","2,97","2.656,59"
2018-08-30,"153,35","13,49","8,85","4,99","2,97","2.656,59"
2018-08-31,"152,50","13,49","8,85","4,99","2,97","2.656,59"
2018-09-03,"151,55","13,49","8,85","4,99","2,97","2.656,59"
2018-09-04,"150,60","13,49","8,85","4,99","2,97","2.656,59"
2018-09-05,"150,65","13,49","8,85","4,99","2,97","2.656,59"
2018-09-06,"147,60","13,49","8,85","4,99","2,97","2.656,59"
2018-09-07,"142,05","13,49","8,85","4,99","2,97","2.656,59"
2018-09-10,"146,20","13,49","8,85","4,99","2,97","2.656,59"
2018-09-11,"145,00","13,49","8,85","4,99","2,97","2.656,59"
2018-09-12,"146,40","13,49","8,85","4,99","2,97","2.656,59"
2018-09-13,"147,00","13,49","8,85","4,99","2,97","2.656,59"
2018-09-14,"147,40","13,49","8,85","4,99","2,97","2.656,59"
2018-09-17,"148,50","13,49","8,85","4,99","2,97","2.656,59"
2018-09-18,"148,00","13,49","8,85","4,99","2,97","2.656,59"
2018-09-19,"145,05","13,49","8,85","4,99","2,97","2.656,59"
2018-09-20,"145,70","13,49","8,85","4,99","2,97","2.656,59"
2018-09-21,"150,45","13,49","8,85","4,99","2,97","2.656,59"
2018-09-24,"149,50","13,49","8,85","4,99","2,97","2.656,59"
2018-09-25,"148,40","13,49","8,85","4,99","2,97","2.656,59"
2018-09-26,"148,35","13,49","8,85","4,99","2,97","2.656,59"
2018-09-27,"148,00","13,49","8,85","4,99","2,97","2.656,59"
2018-09-28,"149,50","13,49","8,85","4,99","2,97","2.656,59"
2018-10-01,"147,20","13,49","8,85","4,99","2,97","2.656,59"
2018-10-02,"146,20","13,49","8,85","4,99","2,97","2.656,59"
2018-10-03,"144,95","13,49","8,85","4,99","2,97","2.656,59"
2018-10-04,"142,20","13,49","8,85","4,99","2,97","2.656,59"
2018-10-05,"144,50","13,49","8,85","4,99","2,97","2.656,59"
2018-10-08,"145,05","13,49","8,85","4,99","2,97","2.656,59"
2018-10-09,"146,70","13,49","8,85","4,99","2,97","2.656,59"
2018-10-10,"139,75","13,49","8,85","4,99","2,97","2.656,59"
2018-10-11,"138,00","13,49","8,85","4,99","2,97","2.656,59"
2018-10-12,"138,20","13,49","8,85","4,99","2,97","2.656,59"
2018-10-15,"138,90","13,49","8,85","4,99","2,97","2.656,59"
2018-10-16,"140,65","13,49","8,85","4,99","2,97","2.656,59"
2018-10-17,"139,75","13,49","8,85","4,99","2,97","2.656,59"
2018-10-18,"140,55","13,49","8,85","4,99","2,97","2.656,59"
2018-10-19,"141,60","13,49","8,85","4,99","2,97","2.656,59"
2018-10-22,"140,50","13,49","8,85","4,99","2,97","2.656,59"
2018-10-23,"138,55","13,49","8,85","4,99","2,97","2.656,59"
2018-10-24,"138,05","13,49","8,85","4,99","2,97","2.656,59"
2018-10-25,"140,55","13,49","8,85","4,99","2,97","2.656,59"
2018-10-26,"139,75","13,49","8,85","4,99","2,97","2.656,59"
2018-10-29,"138,95","13,49","8,85","4,99","2,97","2.656,59"
2018-10-30,"140,00","13,49","8,85","4,99","2,97","2.656,59"
2018-10-31,"141,15","13,49","8,85","4,99","2,97","2.656,59"
2018-11-01,"139,50","13,49","8,85","4,99","2,97","2.656,59"
2018-11-02,"137,85","13,49","8,85","4,99","2,97","2.656,59"
2018-11-05,"138,25","13,49","8,85","4,99","2,97","2.656,59"
2018-11-06,"138,35","13,49","8,85","4,99","2,97","2.656,59"
2018-11-07,"139,20","13,49","8,85","4,99","2,97","2.656,59"
2018-11-08,"139,00","13,49","8,85","4,99","2,97","2.656,59"
2018-11-09,"139,40","13,49","8,85","4,99","2,97","2.656,59"
2018-11-12,"137,00","13,49","8,85","4,99","2,97","2.656,59"
2018-11-13,"137,10","13,49","8,85","4,99","2,97","2.656,59"
2018-11-14,"135,50","13,49","8,85","4,99","2,97","2.656,59"
2018-11-15,"134,50","13,49","8,85","4,99","2,97","2.656,59"
2018-11-16,"133,95","13,49","8,85","4,99","2,97","2.656,59"
2018-11-19,"133,00","13,49","8,85","4,99","2,97","2.656,59"
2018-11-20,"132,95","13,49","8,85","4,99","2,97","2.656,59"
2018-11-21,"135,95","13,49","8,85","4,99","2,97","2.656,59"
