fecha,CABK_ultimo,CABK_per,CABK_bpa,CABK_rentabilidad_por_dividendo,CABK_precio_valor_contable,CABK_ebitda
2017-10-19,"3,890","6,59","0,28","3,64","0,45","0,00"
2017-10-20,"3,860","6,59","0,28","3,64","0,45","0,00"
2017-10-23,"3,830","6,59","0,28","3,64","0,45","0,00"
2017-10-24,"3,870","6,59","0,28","3,64","0,45","0,00"
2017-10-25,"3,880","6,59","0,28","3,64","0,45","0,00"
2017-10-26,"3,950","6,59","0,28","3,64","0,45","0,00"
2017-10-27,"3,840","6,59","0,28","3,64","0,45","0,00"
2017-10-30,"4,000","6,59","0,28","3,64","0,45","0,00"
2017-10-31,"4,020","6,59","0,28","3,64","0,45","0,00"
2017-11-01,"4,080","6,59","0,28","3,64","0,45","0,00"
2017-11-02,"4,040","6,59","0,28","3,64","0,45","0,00"
2017-11-03,"3,970","6,59","0,28","3,64","0,45","0,00"
2017-11-06,"3,970","6,59","0,28","3,64","0,45","0,00"
2017-11-07,"3,960","6,59","0,28","3,64","0,45","0,00"
2017-11-08,"3,980","6,59","0,28","3,64","0,45","0,00"
2017-11-09,"3,890","6,59","0,28","3,64","0,45","0,00"
2017-11-10,"3,870","6,59","0,28","3,64","0,45","0,00"
2017-11-13,"3,910","6,59","0,28","3,64","0,45","0,00"
2017-11-14,"3,930","6,59","0,28","3,64","0,45","0,00"
2017-11-15,"3,980","6,59","0,28","3,64","0,45","0,00"
2017-11-16,"4,000","6,59","0,28","3,64","0,45","0,00"
2017-11-17,"3,940","6,59","0,28","3,64","0,45","0,00"
2017-11-20,"3,900","6,59","0,28","3,64","0,45","0,00"
2017-11-21,"3,870","6,59","0,28","3,64","0,45","0,00"
2017-11-22,"3,900","6,59","0,28","3,64","0,45","0,00"
2017-11-23,"3,900","6,59","0,28","3,64","0,45","0,00"
2017-11-24,"3,950","6,59","0,28","3,64","0,45","0,00"
2017-11-27,"3,900","6,59","0,28","3,64","0,45","0,00"
2017-11-28,"3,920","6,59","0,28","3,64","0,45","0,00"
2017-11-29,"4,050","6,59","0,28","3,64","0,45","0,00"
2017-11-30,"3,990","6,59","0,28","3,64","0,45","0,00"
