fecha,SAN_ultimo,SAN_per,SAN_bpa,SAN_rentabilidad_por_dividendo,SAN_precio_valor_contable,SAN_ebitda
2018-01-10,"5,804","4,56","0,46","5,89","0,36","0,00"
2018-01-11,"5,875","4,56","0,46","5,89","0,36","0,00"
2018-01-12,"5,881","4,56","0,46","5,89","0,36","0,00"
2018-01-15,"5,864","4,56","0,46","5,89","0,36","0,00"
2018-01-16,"5,903","4,56","0,46","5,89","0,36","0,00"
2018-01-17,"5,857","4,56","0,46","5,89","0,36","0,00"
2018-01-18,"5,865","4,56","0,46","5,89","0,36","0,00"
2018-01-19,"5,893","4,56","0,46","5,89","0,36","0,00"
2018-01-22,"5,997","4,56","0,46","5,89","0,36","0,00"
2018-01-23,"5,973","4,56","0,46","5,89","0,36","0,00"
2018-01-24,"5,945","4,56","0,46","5,89","0,36","0,00"
2018-01-25,"6,038","4,56","0,46","5,89","0,36","0,00"
2018-01-26,"6,019","4,56","0,46","5,89","0,36","0,00"
2018-01-29,"6,010","4,56","0,46","5,89","0,36","0,00"
2018-01-30,"5,894","4,56","0,46","5,89","0,36","0,00"
2018-01-31,"5,946","4,56","0,46","5,89","0,36","0,00"
2018-02-01,"5,904","4,56","0,46","5,89","0,36","0,00"
2018-02-02,"5,818","4,56","0,46","5,89","0,36","0,00"
2018-02-05,"5,743","4,56","0,46","5,89","0,36","0,00"
2018-02-06,"5,575","4,56","0,46","5,89","0,36","0,00"
2018-02-07,"5,696","4,56","0,46","5,89","0,36","0,00"
2018-02-08,"5,545","4,56","0,46","5,89","0,36","0,00"
2018-02-09,"5,449","4,56","0,46","5,89","0,36","0,00"
2018-02-12,"5,546","4,56","0,46","5,89","0,36","0,00"
2018-02-13,"5,442","4,56","0,46","5,89","0,36","0,00"
2018-02-14,"5,460","4,56","0,46","5,89","0,36","0,00"
2018-02-15,"5,484","4,56","0,46","5,89","0,36","0,00"
2018-02-16,"5,580","4,56","0,46","5,89","0,36","0,00"
2018-02-19,"5,552","4,56","0,46","5,89","0,36","0,00"
2018-02-20,"5,644","4,56","0,46","5,89","0,36","0,00"
2018-02-21,"5,622","4,56","0,46","5,89","0,36","0,00"
2018-02-22,"5,629","4,56","0,46","5,89","0,36","0,00"
2018-02-23,"5,618","4,56","0,46","5,89","0,36","0,00"
2018-02-26,"5,656","4,56","0,46","5,89","0,36","0,00"
2018-02-27,"5,695","4,56","0,46","5,89","0,36","0,00"
2018-02-28,"5,632","4,56","0,46","5,89","0,36","0,00"
2018-03-01,"5,571","4,56","0,46","5,89","0,36","0,00"
2018-03-02,"5,450","4,56","0,46","5,89","0,36","0,00"
