ultimo,apertura,maximo,minimo,vol,variacion
9289.9,9354.6,9453.2,9231.1,209.48,-0.43
9329.7,9287.4,9341.3,9269.4,142.61,0.52
9281.6,9224.4,9299.3,9210.6,157.25,1.29
9163.5,9172.6,9194.8,9137.4,135.56,-0.08
9170.5,9263.1,9289.7,9152.9,167.67,-0.6
9225.7,9209.4,9259.1,9179.2,155.71,-0.63
9284.2,9359.3,9363.3,9277.1,141.21,-0.99
9377.1,9326.0,9393.9,9316.3,129.21,0.57
9323.6,9313.2,9355.3,9280.1,119.54,0.33
9293.2,9284.7,9318.7,9281.7,120.78,0.14
9280.3,9268.2,9300.4,9230.8,114.24,0.3
9252.9,9241.3,9299.6,9218.3,145.2,-0.23
9273.9,9258.7,9273.9,9227.6,142.22,-0.12
9284.7,9303.3,9340.2,9268.9,146.31,-0.54
9335.0,9391.7,9417.8,9314.2,170.13,-0.7
9401.0,9371.0,9402.4,9355.2,163.99,0.07
9394.4,9290.5,9407.5,9277.1,139.58,1.22
9281.5,9284.0,9298.4,9223.4,130.06,0.18
9264.6,9290.3,9314.3,9217.5,154.92,0.72
9198.8,9148.8,9216.3,9118.5,152.19,0.56
9147.8,9168.0,9196.8,9125.8,137.19,-0.1
9157.4,9162.3,9220.7,9142.4,147.06,-0.03
9159.8,9165.3,9173.2,9120.7,147.68,-0.36
9192.5,9230.0,9285.4,9173.3,121.86,-0.38
9227.2,9228.2,9297.7,9209.3,332.95,0.2
9208.5,9272.1,9292.7,9204.8,208.46,-0.25
9231.2,9257.3,9263.3,9192.4,180.12,-0.1
9240.7,9112.9,9253.4,9060.4,200.01,1.19
9131.7,9199.6,9205.1,9127.9,118.12,-0.68
9194.2,9233.8,9244.7,9169.3,114.98,-0.57
9247.1,9227.6,9301.7,9208.8,126.13,0.09
9238.5,9244.4,9274.6,9223.1,145.2,-0.47
9282.1,9288.6,9332.5,9273.4,144.7,-0.13
9294.1,9284.2,9302.2,9248.1,102.32,0.63
9236.1,9186.7,9261.4,9185.7,150.66,0.73
9169.2,9169.2,9246.2,9136.7,212.72,0.2
9150.5,9136.8,9173.4,9095.0,158.75,0.36
9117.6,8972.7,9138.5,8964.2,197.02,1.05
9022.8,8945.7,9022.8,8903.1,156.19,0.21
9004.2,9054.9,9074.0,8959.5,208.66,-1.68
9157.8,9120.8,9175.2,9114.1,101.39,0.85
9080.5,9113.2,9116.7,9035.1,148.99,-1.21
9191.8,9220.4,9224.9,9132.9,218.9,-0.27
9216.4,9225.9,9294.6,9204.7,60.18,0.46
9174.6,9150.3,9211.1,9141.4,121.67,0.66
9114.0,9170.7,9186.7,9098.4,161.09,-1.28
9232.2,9232.3,9288.7,9182.5,146.55,-0.07
9239.1,9229.0,9255.0,9185.2,131.58,0.43
9199.7,9286.0,9334.9,9177.9,153.32,-0.87
9280.1,9278.7,9321.6,9223.1,159.8,-0.26
9304.3,9161.4,9304.3,9136.7,157.57,1.39
9177.1,9143.0,9177.1,9061.9,143.43,0.54
9127.6,9078.2,9127.6,9053.6,139.68,0.89
9046.8,9127.6,9127.6,9025.7,147.44,-0.78
9117.5,9149.4,9179.4,9099.1,147.76,0.25
9095.2,9162.1,9184.8,9079.8,167.0,-1.43
9227.0,9233.9,9261.2,9158.3,185.75,-0.09
9235.1,9332.9,9404.6,9221.0,199.27,-1.03
9331.0,9259.0,9347.2,9236.3,121.6,-0.84
9409.6,9427.9,9450.7,9388.7,126.74,-0.09
9418.2,9545.5,9559.7,9412.2,205.61,-1.59
9570.6,9497.3,9570.6,9455.5,186.88,0.56
9517.2,9435.3,9517.2,9414.4,146.3,0.12
9506.0,9512.1,9527.4,9448.8,153.32,0.05
9501.2,9450.8,9503.8,9421.3,147.42,0.47
9456.4,9506.3,9525.2,9427.4,157.93,-0.74
9527.2,9586.0,9588.2,9492.2,159.55,-0.57
9581.9,9553.7,9581.9,9480.0,165.27,0.34
9549.8,9486.0,9580.6,9460.5,193.16,0.55
9497.3,9492.4,9543.7,9462.9,140.51,0.0
9497.1,9488.1,9528.4,9468.1,156.93,0.3
9468.5,9441.3,9509.2,9390.2,212.33,0.24
9445.4,9423.1,9468.7,9372.3,178.53,0.41
9406.5,9423.5,9467.5,9395.2,152.2,-0.01
9407.8,9428.3,9511.2,9388.3,137.6,-0.32
9437.7,9483.4,9495.1,9425.2,121.81,-0.76
9510.3,9542.4,9553.6,9476.5,178.69,-0.25
9534.1,9488.9,9551.5,9472.0,164.76,0.49
9487.8,9457.1,9491.2,9436.5,173.81,1.33
9363.5,9356.7,9400.7,9322.9,152.28,0.23
9341.7,9304.8,9355.2,9269.7,200.87,1.1
9240.3,9226.5,9273.8,9190.5,181.74,0.72
9174.7,9214.1,9245.6,9170.4,153.24,-0.6
9229.9,9194.8,9323.5,9146.1,239.05,0.51
9183.1,9189.7,9211.7,9151.5,168.85,0.03
9179.9,9159.4,9232.8,9127.3,169.09,-0.21
9199.4,9394.6,9395.2,9188.3,216.68,-1.67
9355.6,9387.4,9397.6,9326.2,179.84,-0.53
9405.6,9467.7,9509.2,9405.6,138.67,-0.91
9492.3,9428.4,9532.9,9417.9,150.4,0.88
9409.1,9350.8,9418.8,9343.9,152.58,0.72
9342.2,9219.5,9342.2,9216.1,372.91,1.44
9209.8,9193.7,9283.9,9192.1,155.13,0.19
9192.7,9134.7,9202.7,9123.0,162.61,0.34
9161.7,9206.9,9213.8,9137.2,144.9,-0.11
9171.9,9157.7,9181.7,9106.8,129.69,0.47
9129.3,9173.2,9205.5,9110.5,197.95,-1.3
9249.9,9301.0,9366.7,9216.1,253.05,-0.5
9296.7,9243.1,9344.6,9235.4,140.84,0.42
9258.2,9255.7,9298.7,9204.3,140.18,-0.02
9259.8,9309.3,9322.0,9248.0,112.92,-0.09
9267.7,9313.5,9361.4,9267.7,167.87,-0.11
9277.7,9166.3,9293.1,9141.0,260.63,0.72
9211.7,9206.2,9226.2,9160.9,174.51,-0.17
9227.2,9172.0,9235.8,9141.8,127.1,0.25
9204.3,9244.2,9261.4,9198.8,131.23,-0.0
9204.6,9184.7,9238.9,9175.3,131.2,0.15
9191.2,9202.5,9224.7,9162.9,137.6,0.11
9181.1,9156.8,9189.7,9148.7,130.32,0.49
9136.4,9152.1,9187.6,9096.1,117.86,-0.21
9155.5,9134.6,9174.7,9123.6,115.18,0.35
9123.2,8953.4,9134.8,8918.5,208.11,1.91
8952.5,9035.7,9038.0,8943.9,169.67,-0.33
8982.4,8993.3,9015.6,8956.9,155.3,-0.01
8983.1,8989.5,9032.3,8961.4,138.79,0.52
8936.4,8905.1,8974.8,8893.1,132.24,0.9
8856.8,8915.4,8928.4,8826.5,165.21,-0.91
8938.3,9062.4,9098.4,8938.3,178.62,-1.79
9100.9,9070.4,9113.7,9055.8,149.92,0.1
9092.0,8982.0,9092.0,8949.2,210.16,1.3
8975.2,9015.3,9036.0,8905.8,221.48,-0.49
9019.4,9058.6,9078.7,8942.4,286.84,-0.41
9056.7,9103.8,9117.1,8981.7,222.89,-0.16
9071.5,9123.9,9142.1,9034.1,154.21,-0.52
9119.1,9064.6,9163.8,9034.1,144.38,0.63
9062.4,9149.5,9181.5,9048.9,134.49,-1.34
9185.2,9206.9,9225.4,9164.6,161.49,0.38
9150.0,9150.0,9205.4,9088.0,163.42,0.23
9128.8,9011.9,9169.7,9006.4,135.9,1.01
9037.5,9009.0,9055.6,9001.1,143.28,-0.18
9053.8,9064.8,9070.6,9033.2,90.49,-0.17
9069.1,8962.3,9080.8,8950.9,203.55,1.8
8908.6,8868.1,8939.1,8850.6,152.92,-0.05
8912.7,8869.5,8912.7,8836.7,176.32,0.71
8850.1,8878.4,8915.9,8768.2,136.52,0.36
8818.6,8819.2,8840.4,8751.2,126.0,-0.66
8877.1,8855.9,8900.4,8836.0,151.62,0.23
8856.8,8790.0,8856.8,8784.5,148.19,0.38
8823.6,8887.4,8892.9,8807.0,160.46,-0.27
8847.3,8783.1,8895.9,8773.4,160.82,0.81
8776.3,8781.2,8783.5,8710.4,128.76,0.44
8737.8,8593.8,8774.3,8588.1,169.09,2.52
8523.3,8497.5,8590.9,8488.1,135.07,-0.31
8550.0,8448.3,8582.4,8354.8,130.76,0.12
8539.9,8510.8,8583.3,8490.7,64.73,0.54
8493.7,8386.2,8513.4,8378.7,143.83,1.55
8363.9,8555.6,8557.7,8286.2,211.96,-1.38
8480.6,8490.2,8528.4,8471.2,53.51,-0.89
8556.8,8563.2,8598.4,8468.4,389.12,-0.46
8596.5,8647.8,8698.5,8567.0,231.92,-1.97
8769.1,8720.1,8804.2,8717.8,188.36,0.78
8700.8,8781.1,8802.1,8700.8,225.82,-1.27
8812.5,8862.9,8906.2,8807.9,173.09,-0.83
8886.1,8865.9,8908.0,8787.6,151.98,-0.45
8926.3,8915.8,8974.9,8868.6,216.18,0.82
8853.4,8724.9,8887.7,8718.1,219.18,1.35
8735.5,8709.4,8826.4,8671.9,210.51,0.87
8660.0,8771.0,8804.6,8644.0,174.11,-1.76
8815.5,8819.6,8914.6,8805.2,164.63,0.58
8764.5,8926.0,8927.4,8743.7,214.51,-2.75
9012.2,8983.7,9048.5,8945.5,136.51,-0.55
9061.7,9148.5,9170.8,9057.7,164.52,-1.28
9179.6,9239.8,9262.1,9159.1,167.66,1.13
9077.2,9112.4,9117.8,9046.2,207.83,-0.24
9098.9,9168.9,9199.6,9080.7,145.11,-0.04
9102.7,9120.4,9163.1,9096.8,148.53,0.19
9085.6,9091.7,9156.4,9033.0,173.49,-0.06
9091.2,8984.0,9104.6,8984.0,173.69,1.96
8916.7,8903.2,8951.1,8867.7,94.33,0.12
8906.2,8917.4,8947.6,8878.7,118.0,-0.61
8960.6,8905.7,8979.2,8896.3,145.08,1.06
8866.5,8970.7,8977.0,8829.6,176.4,-1.55
9006.3,9073.8,9138.3,9006.3,123.71,-0.56
9056.8,9111.6,9131.5,9015.9,202.08,-0.18
9073.5,9133.7,9189.8,9018.6,184.7,-0.36
9106.6,9097.8,9176.4,9036.7,139.66,-0.42
9145.4,9097.2,9163.3,9074.5,153.9,0.76
9076.3,9174.8,9180.6,9068.3,141.48,-0.64
9134.8,9117.7,9156.8,9079.7,203.27,-0.46
