ultimo,deuda_publica,ipc,tasa_paro,pib,AENA_ultimo,AENA_per,AENA_bpa,AENA_rentabilidad_por_dividendo,AENA_precio_valor_contable,AENA_ebitda,AMS_ultimo,AMS_per,AMS_bpa,AMS_rentabilidad_por_dividendo,AMS_precio_valor_contable,AMS_ebitda,BBVA_ultimo,BBVA_per,BBVA_bpa,BBVA_rentabilidad_por_dividendo,BBVA_precio_valor_contable,BBVA_ebitda,CABK_ultimo,CABK_per,CABK_bpa,CABK_rentabilidad_por_dividendo,CABK_precio_valor_contable,CABK_ebitda,FER_ultimo,FER_per,FER_bpa,FER_rentabilidad_por_dividendo,FER_precio_valor_contable,FER_ebitda,IBE_ultimo,IBE_per,IBE_bpa,IBE_rentabilidad_por_dividendo,IBE_precio_valor_contable,IBE_ebitda,ITX_ultimo,ITX_per,ITX_bpa,ITX_rentabilidad_por_dividendo,ITX_precio_valor_contable,ITX_ebitda,REP_ultimo,REP_per,REP_bpa,REP_rentabilidad_por_dividendo,REP_precio_valor_contable,REP_ebitda,SAN_ultimo,SAN_per,SAN_bpa,SAN_rentabilidad_por_dividendo,SAN_precio_valor_contable,SAN_ebitda,TEF_ultimo,TEF_per,TEF_bpa,TEF_rentabilidad_por_dividendo,TEF_precio_valor_contable,TEF_ebitda
11011.8,1050632.43,-0.66,23.78,1.15,81.3,0.0,0.0,0.0,0.0,0.0,37.79,0.0,0.0,0.0,0.0,0.0,8.456,0.0,0.0,0.0,0.0,0.0,4.022,0.0,0.0,0.0,0.0,0.0,17.863,0.0,0.0,0.0,0.0,0.0,5.564,0.0,0.0,0.0,0.0,0.0,27.625,0.0,0.0,0.0,0.0,0.0,15.175,0.0,0.0,0.0,0.0,0.0,6.202,0.0,0.0,0.0,0.0,0.0,13.033,0.0,0.0,0.0,0.0,0.0
11033.8,1050632.43,-0.66,23.78,1.15,81.5,0.0,0.0,0.0,0.0,0.0,38.24,0.0,0.0,0.0,0.0,0.0,8.498,0.0,0.0,0.0,0.0,0.0,4.013,0.0,0.0,0.0,0.0,0.0,17.92,0.0,0.0,0.0,0.0,0.0,5.56,0.0,0.0,0.0,0.0,0.0,28.16,0.0,0.0,0.0,0.0,0.0,14.869,0.0,0.0,0.0,0.0,0.0,6.188,0.0,0.0,0.0,0.0,0.0,12.998,0.0,0.0,0.0,0.0,0.0
11114.7,1050632.43,-0.66,23.78,1.15,80.5,0.0,0.0,0.0,0.0,0.0,38.385,0.0,0.0,0.0,0.0,0.0,8.542,0.0,0.0,0.0,0.0,0.0,4.046,0.0,0.0,0.0,0.0,0.0,18.331,0.0,0.0,0.0,0.0,0.0,5.587,0.0,0.0,0.0,0.0,0.0,28.81,0.0,0.0,0.0,0.0,0.0,14.851,0.0,0.0,0.0,0.0,0.0,6.246,0.0,0.0,0.0,0.0,0.0,13.013,0.0,0.0,0.0,0.0,0.0
11028.1,1050632.43,-0.66,23.78,1.15,80.0,0.0,0.0,0.0,0.0,0.0,38.33,0.0,0.0,0.0,0.0,0.0,8.448,0.0,0.0,0.0,0.0,0.0,3.981,0.0,0.0,0.0,0.0,0.0,18.17,0.0,0.0,0.0,0.0,0.0,5.558,0.0,0.0,0.0,0.0,0.0,28.17,0.0,0.0,0.0,0.0,0.0,14.965,0.0,0.0,0.0,0.0,0.0,6.221,0.0,0.0,0.0,0.0,0.0,13.018,0.0,0.0,0.0,0.0,0.0
11050.0,1050632.43,-0.66,23.78,1.15,79.94,0.0,0.0,0.0,0.0,0.0,38.215,0.0,0.0,0.0,0.0,0.0,8.396,0.0,0.0,0.0,0.0,0.0,3.907,0.0,0.0,0.0,0.0,0.0,18.198,0.0,0.0,0.0,0.0,0.0,5.634,0.0,0.0,0.0,0.0,0.0,29.15,0.0,0.0,0.0,0.0,0.0,15.002,0.0,0.0,0.0,0.0,0.0,6.216,0.0,0.0,0.0,0.0,0.0,12.954,0.0,0.0,0.0,0.0,0.0
11091.0,1050632.43,-0.66,23.78,1.15,79.1,0.0,0.0,0.0,0.0,0.0,38.48,0.0,0.0,0.0,0.0,0.0,8.446,0.0,0.0,0.0,0.0,0.0,3.922,0.0,0.0,0.0,0.0,0.0,18.203,0.0,0.0,0.0,0.0,0.0,5.63,0.0,0.0,0.0,0.0,0.0,29.595,0.0,0.0,0.0,0.0,0.0,15.166,0.0,0.0,0.0,0.0,0.0,6.247,0.0,0.0,0.0,0.0,0.0,12.817,0.0,0.0,0.0,0.0,0.0
11419.6,1050632.43,-0.66,23.78,1.15,80.25,0.0,0.0,0.0,0.0,0.0,39.06,0.0,0.0,0.0,0.0,0.0,8.719,0.0,0.0,0.0,0.0,0.0,4.074,0.0,0.0,0.0,0.0,0.0,18.473,0.0,0.0,0.0,0.0,0.0,5.806,0.0,0.0,0.0,0.0,0.0,30.21,0.0,0.0,0.0,0.0,0.0,15.874,0.0,0.0,0.0,0.0,0.0,6.549,0.0,0.0,0.0,0.0,0.0,13.204,0.0,0.0,0.0,0.0,0.0
11452.8,1050632.43,-0.66,23.78,1.15,80.8,0.0,0.0,0.0,0.0,0.0,39.26,0.0,0.0,0.0,0.0,0.0,8.758,0.0,0.0,0.0,0.0,0.0,4.12,0.0,0.0,0.0,0.0,0.0,18.487,0.0,0.0,0.0,0.0,0.0,5.753,0.0,0.0,0.0,0.0,0.0,30.04,0.0,0.0,0.0,0.0,0.0,15.856,0.0,0.0,0.0,0.0,0.0,6.581,0.0,0.0,0.0,0.0,0.0,13.288,0.0,0.0,0.0,0.0,0.0
11579.3,1050632.43,-0.66,23.78,1.15,81.95,0.0,0.0,0.0,0.0,0.0,39.775,0.0,0.0,0.0,0.0,0.0,8.898,0.0,0.0,0.0,0.0,0.0,4.227,0.0,0.0,0.0,0.0,0.0,18.529,0.0,0.0,0.0,0.0,0.0,5.77,0.0,0.0,0.0,0.0,0.0,30.245,0.0,0.0,0.0,0.0,0.0,16.011,0.0,0.0,0.0,0.0,0.0,6.681,0.0,0.0,0.0,0.0,0.0,13.386,0.0,0.0,0.0,0.0,0.0
11464.7,1050632.43,-0.66,23.78,1.15,80.35,0.0,0.0,0.0,0.0,0.0,39.06,0.0,0.0,0.0,0.0,0.0,8.831,0.0,0.0,0.0,0.0,0.0,4.21,0.0,0.0,0.0,0.0,0.0,18.331,0.0,0.0,0.0,0.0,0.0,5.709,0.0,0.0,0.0,0.0,0.0,29.705,0.0,0.0,0.0,0.0,0.0,15.902,0.0,0.0,0.0,0.0,0.0,6.608,0.0,0.0,0.0,0.0,0.0,13.273,0.0,0.0,0.0,0.0,0.0
