ultimo,apertura,maximo,minimo,vol,variacion,deuda_publica,ipc,tasa_paro,pib
11321.9,11419.0,11420.1,11220.4,272.69,-0.71,1055900.81,0.06,22.37,1.07
11308.4,11245.0,11441.3,11213.1,294.85,-0.12,1055900.81,0.06,22.37,1.07
11372.3,11238.7,11434.8,11199.9,217.13,0.57,1055900.81,0.06,22.37,1.07
10853.9,11148.4,11202.6,10816.4,463.51,-4.56,1055900.81,0.06,22.37,1.07
10769.5,10811.6,10954.5,10723.2,369.23,-0.78,1055900.81,0.06,22.37,1.07
10911.5,10857.7,11036.9,10784.3,310.65,1.32,1043141.35,0.07,21.18,0.91
10846.4,10932.0,10960.7,10835.5,209.13,-0.6,1043141.35,0.07,21.18,0.91
10779.8,10835.7,10860.7,10730.0,197.29,-0.61,1043141.35,0.07,21.18,0.91
10540.1,10571.8,10653.7,10496.0,353.56,-2.22,1043141.35,0.07,21.18,0.91
10346.0,10554.9,10588.5,10332.1,325.14,-1.84,1043141.35,0.07,21.18,0.91
10430.3,10364.7,10478.7,10316.4,320.3,0.81,1043141.35,0.07,21.18,0.91
10706.4,10479.4,10761.1,10463.6,306.82,2.65,1043141.35,0.07,21.18,0.91
11036.1,10958.2,11069.8,10896.9,358.66,3.08,1043141.35,0.07,21.18,0.91
11224.2,11178.2,11253.5,11121.8,306.04,1.7,1043141.35,0.07,21.18,0.91
11258.3,11220.1,11258.3,11140.8,302.65,0.3,1043141.35,0.07,21.18,0.91
11335.7,11262.0,11360.4,11234.3,208.08,0.69,1043141.35,0.07,21.18,0.91
11510.6,11405.2,11536.3,11398.6,282.71,1.54,1043141.35,0.07,21.18,0.91
11480.7,11551.0,11551.0,11472.6,229.03,-0.26,1043141.35,0.07,21.18,0.91
11556.1,11506.9,11612.6,11499.4,178.8,0.66,1043141.35,0.07,21.18,0.91
11458.6,11571.9,11579.7,11432.1,222.07,-0.84,1043141.35,0.07,21.18,0.91
11484.3,11389.2,11525.4,11365.5,261.18,0.22,1043141.35,0.07,21.18,0.91
11441.9,11552.0,11553.6,11429.4,229.34,-0.37,1043141.35,0.07,21.18,0.91
11309.3,11415.4,11460.3,11300.9,339.31,-1.16,1043141.35,0.07,21.18,0.91
11145.4,11252.7,11264.2,11136.7,334.76,-1.45,1043141.35,0.07,21.18,0.91
11252.4,11179.5,11294.0,11168.1,224.45,0.96,1043141.35,0.07,21.18,0.91
11282.9,11310.0,11325.6,11185.8,218.99,0.27,1043141.35,0.07,21.18,0.91
11168.6,11347.7,11362.4,11117.6,292.61,-1.01,1043141.35,0.07,21.18,0.91
11180.7,11198.4,11200.9,11039.5,278.12,0.11,1043141.35,0.07,21.18,0.91
11265.9,11180.6,11288.5,11141.2,278.42,0.76,1052409.25,-0.42,21.18,0.91
11150.5,11240.3,11244.8,11098.5,409.88,-1.02,1052409.25,-0.42,21.18,0.91
11279.5,11195.0,11302.9,11184.7,255.67,1.16,1052409.25,-0.42,21.18,0.91
11253.6,11263.6,11327.0,11239.4,209.27,-0.23,1052409.25,-0.42,21.18,0.91
11178.2,11244.9,11264.0,11176.8,202.37,-0.67,1052409.25,-0.42,21.18,0.91
11311.7,11239.5,11330.0,11129.3,174.26,1.19,1052409.25,-0.42,21.18,0.91
11152.3,11278.5,11319.1,11137.8,231.92,-1.41,1052409.25,-0.42,21.18,0.91
10880.1,11054.4,11054.4,10840.3,308.27,-2.44,1052409.25,-0.42,21.18,0.91
10947.9,11030.8,11057.1,10938.5,213.8,0.62,1052409.25,-0.42,21.18,0.91
10879.3,10952.4,11034.3,10851.6,221.08,-0.63,1052409.25,-0.42,21.18,0.91
10900.3,10983.1,11023.3,10774.4,202.5,0.19,1052409.25,-0.42,21.18,0.91
10897.9,10878.0,10952.2,10846.1,167.05,-0.02,1052409.25,-0.42,21.18,0.91
10782.4,10843.7,10905.3,10776.8,229.36,-1.06,1052409.25,-0.42,21.18,0.91
10587.0,10748.2,10797.5,10564.8,292.08,-1.81,1052409.25,-0.42,21.18,0.91
10271.7,10434.4,10576.2,10270.2,336.67,-2.98,1052409.25,-0.42,21.18,0.91
9756.6,9973.7,10078.0,9502.4,637.1,-5.01,1052409.25,-0.42,21.18,0.91
10115.4,9880.4,10168.1,9819.9,448.31,3.68,1052409.25,-0.42,21.18,0.91
9984.5,10005.8,10132.9,9875.4,345.7,-1.29,1052409.25,-0.42,21.18,0.91
10290.2,10229.6,10357.3,10176.2,332.91,3.06,1052409.25,-0.42,21.18,0.91
10352.9,10322.7,10352.9,10235.7,202.08,0.61,1052409.25,-0.42,21.18,0.91
10259.0,10297.2,10319.1,10190.4,184.68,-0.91,1052409.25,-0.42,21.18,0.91
9992.8,10136.1,10148.5,9921.1,286.17,-2.59,1065883.55,-0.88,21.18,0.91
9938.3,10009.7,10071.1,9855.8,278.09,-0.55,1065883.55,-0.88,21.18,0.91
10042.4,10023.8,10118.7,9945.9,311.83,1.05,1065883.55,-0.88,21.18,0.91
9821.8,9947.0,9950.8,9737.9,325.76,-2.2,1065883.55,-0.88,21.18,0.91
9805.4,9893.5,9931.8,9796.6,170.28,-0.17,1065883.55,-0.88,21.18,0.91
9866.2,9860.3,9987.7,9857.6,222.43,0.62,1065883.55,-0.88,21.18,0.91
